drug_set,condition_id_norm,label,missing_drug_ids,missing_disease_id,reason
"['CHEBI:17650', 'CHEBI:6762']",HP:0000989,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:6762']",MONDO:0004980,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:6762']",MONDO:0005492,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:6762']",UMLS:C0021564,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:6923']",MONDO:0021201,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:6923']",MONDO:0024268,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:6923']",UMLS:C0011974,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:6923']",UMLS:C1322253,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:6923']",UMLS:C1323189,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:74460']",HP:0032004,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:74460']",HP:0033120,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:74460']",HP:0033564,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:74460']",MONDO:0001405,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:74460']",MONDO:0001461,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:74460']",MONDO:0002406,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:74460']",MONDO:0002922,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:74460']",MONDO:0004980,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:74460']",MONDO:0005230,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:74460']",MONDO:0005480,1,['CHEBI:17650'],,missing_drug
"['CHEBI:17650', 'CHEBI:74460']",MONDO:0005886,1,['CHEBI:17650'],,missing_drug
