condition_id_norm,label,drug_set
MONDO:0004948,0,"['CHEBI:133021', 'CHEBI:6076']"
UMLS:C5395609,1,"['CHEBI:133021', 'CHEBI:76612']"
MONDO:0002492,1,"['CHEBI:133538', 'CHEBI:137228', 'CHEBI:15614', 'CHEBI:15971', 'CHEBI:16530', 'CHEBI:16857', 'CHEBI:17895', 'CHEBI:30851', 'CHEBI:48430']"
UMLS:C2930544,1,"['CHEBI:133538', 'CHEBI:137228', 'CHEBI:15614', 'CHEBI:15971', 'CHEBI:16530', 'CHEBI:16857', 'CHEBI:17895', 'CHEBI:30851', 'CHEBI:48430']"
MONDO:0002492,1,"['CHEBI:133538', 'CHEBI:137228', 'CHEBI:15971', 'CHEBI:16857', 'CHEBI:17895', 'CHEBI:48430']"
UMLS:C2585811,1,"['CHEBI:133538', 'CHEBI:15428', 'CHEBI:15603', 'CHEBI:15971', 'CHEBI:16414', 'CHEBI:16449', 'CHEBI:16467', 'CHEBI:16811', 'CHEBI:16811', 'CHEBI:16828', 'CHEBI:16857', 'CHEBI:17115', 'CHEBI:17191', 'CHEBI:17295', 'CHEBI:17895', 'CHEBI:25107', 'CHEBI:26271', 'CHEBI:26710', 'CHEBI:3312', 'CHEBI:78320']"
MONDO:0002492,1,"['CHEBI:133538', 'CHEBI:15603', 'CHEBI:15971', 'CHEBI:16414', 'CHEBI:16811', 'CHEBI:16828', 'CHEBI:16857', 'CHEBI:17191', 'CHEBI:17295']"
MONDO:0005300,1,"['CHEBI:133538', 'CHEBI:15603', 'CHEBI:15971', 'CHEBI:16414', 'CHEBI:16811', 'CHEBI:16828', 'CHEBI:16857', 'CHEBI:17191', 'CHEBI:17295']"
UMLS:C0542211,1,"['CHEBI:133538', 'CHEBI:15603', 'CHEBI:15971', 'CHEBI:16414', 'CHEBI:16811', 'CHEBI:16828', 'CHEBI:16857', 'CHEBI:17191', 'CHEBI:17295']"
MONDO:0002492,1,"['CHEBI:133538', 'CHEBI:15971', 'CHEBI:16857', 'CHEBI:17895']"
MONDO:0005300,1,"['CHEBI:133538', 'CHEBI:15971', 'CHEBI:16857', 'CHEBI:17895']"
MONDO:0005240,1,"['CHEBI:133538', 'CHEBI:16467']"
MONDO:0002476,0,"['CHEBI:133538', 'CHEBI:26709']"
MONDO:0004736,0,"['CHEBI:133538', 'CHEBI:26709']"
MONDO:0009563,0,"['CHEBI:133538', 'CHEBI:26709']"
HP:0004325,1,"['CHEBI:133538', 'CHEBI:4046']"
