drug_set,condition_id_norm,label,missing_drug_ids,missing_disease_id,reason
"['CHEBI:16684', 'CHEBI:8354']",UMLS:C0573242,1,[],UMLS:C0573242,missing_disease
"['CHEBI:16709', 'CHEBI:17015', 'CHEBI:17154', 'CHEBI:18385']",UMLS:C0852222,1,[],UMLS:C0852222,missing_disease
"['CHEBI:16709', 'CHEBI:17015', 'CHEBI:17154', 'CHEBI:18385', 'UNII:UM5219H89V']",UMLS:C0852222,1,[],UMLS:C0852222,missing_disease
"['CHEBI:16709', 'CHEBI:17439']",MONDO:0024333,1,[],MONDO:0024333,missing_disease
"['CHEBI:16709', 'CHEBI:17439', 'CHEBI:18385', 'CHEBI:6456']",RXCUI:1150091,1,[],RXCUI:1150091,missing_disease
"['CHEBI:16709', 'CHEBI:17621', 'CHEBI:30769', 'CHEBI:45931', 'CHEBI:64733']",HP:0001946,1,[],HP:0001946,missing_disease
"['CHEBI:16709', 'CHEBI:28659']",UMLS:C0573813,0,[],UMLS:C0573813,missing_disease
"['CHEBI:16714', 'CHEBI:5551']",UMLS:C0749874,1,[],UMLS:C0749874,missing_disease
"['CHEBI:16714', 'CHEBI:8461']",UMLS:C0749874,1,[],UMLS:C0749874,missing_disease
"['CHEBI:16794', 'CHEBI:31807']",UMLS:C4728126,1,[],UMLS:C4728126,missing_disease
"['CHEBI:16794', 'CHEBI:5855']",UMLS:C0149875,1,[],UMLS:C0149875,missing_disease
"['CHEBI:16914', 'CHEBI:29385', 'CHEBI:30746']",HP:0025251,1,[],HP:0025251,missing_disease
"['CHEBI:16914', 'CHEBI:34764']",MONDO:0005340,1,[],MONDO:0005340,missing_disease
"['CHEBI:16914', 'CHEBI:34764']",UMLS:C0263361,1,[],UMLS:C0263361,missing_disease
"['CHEBI:16914', 'CHEBI:34764']",UMLS:C5441647,1,[],UMLS:C5441647,missing_disease
"['CHEBI:16914', 'CHEBI:46345']",UMLS:C0853833,1,[],UMLS:C0853833,missing_disease
"['CHEBI:16914', 'CHEBI:46859', 'CHEBI:78320']",UMLS:C0010046,1,[],UMLS:C0010046,missing_disease
"['CHEBI:16914', 'CHEBI:78320']",UMLS:C0010046,1,[],UMLS:C0010046,missing_disease
"['CHEBI:16914', 'CHEBI:78320']",UMLS:C0263631,1,[],UMLS:C0263631,missing_disease
"['CHEBI:16914', 'CHEBI:78320']",UMLS:C0457978,1,[],UMLS:C0457978,missing_disease
"['CHEBI:16914', 'CHEBI:9667']",UMLS:C0263361,1,[],UMLS:C0263361,missing_disease
"['CHEBI:16914', 'PUBCHEM.COMPOUND:6433489']",MONDO:0044339,1,[],MONDO:0044339,missing_disease
